,Date,Hour,Market Demand,Ontario Demand
0,2020-01-01,1,16565,13219
1,2020-01-01,2,16193,12895
2,2020-01-01,3,16072,12554
3,2020-01-01,4,15930,12360
4,2020-01-01,5,15963,12353
5,2020-01-01,6,16057,12458
6,2020-01-01,7,16249,12729
7,2020-01-01,8,16498,13180
8,2020-01-01,9,16686,13406
9,2020-01-01,10,16973,13765
10,2020-01-01,11,17340,14078
11,2020-01-01,12,17537,14373
12,2020-01-01,13,17756,14495
13,2020-01-01,14,17764,14513
14,2020-01-01,15,17857,14690
15,2020-01-01,16,17162,14753
16,2020-01-01,17,17654,15490
17,2020-01-01,18,18537,16324
18,2020-01-01,19,18574,16208
19,2020-01-01,20,18332,15911
20,2020-01-01,21,18314,15535
21,2020-01-01,22,18638,15222
22,2020-01-01,23,17964,14426
23,2020-01-01,24,17201,13698
24,2020-01-02,1,16449,12996
25,2020-01-02,2,16373,12662
26,2020-01-02,3,16031,12435
27,2020-01-02,4,15872,12365
28,2020-01-02,5,16082,12481
29,2020-01-02,6,16587,12940
30,2020-01-02,7,17671,13999
31,2020-01-02,8,19065,15238
32,2020-01-02,9,19484,15655
33,2020-01-02,10,19585,15819
34,2020-01-02,11,19086,15839
35,2020-01-02,12,19024,15846
36,2020-01-02,13,18568,15685
37,2020-01-02,14,19147,15926
38,2020-01-02,15,19114,15932
39,2020-01-02,16,19113,16048
40,2020-01-02,17,19141,16846
41,2020-01-02,18,19784,17621
42,2020-01-02,19,19768,17331
43,2020-01-02,20,19623,17099
44,2020-01-02,21,19173,16784
45,2020-01-02,22,18611,16005
46,2020-01-02,23,18223,15145
47,2020-01-02,24,17277,14154
48,2020-01-03,1,16372,13369
49,2020-01-03,2,16181,12976
50,2020-01-03,3,15810,12588
51,2020-01-03,4,15853,12570
52,2020-01-03,5,16420,12759
53,2020-01-03,6,16798,13419
54,2020-01-03,7,16773,14323
55,2020-01-03,8,17414,15321
56,2020-01-03,9,17897,15941
57,2020-01-03,10,17624,16053
58,2020-01-03,11,18203,16339
59,2020-01-03,12,18034,16358
60,2020-01-03,13,18700,16684
61,2020-01-03,14,18644,16744
62,2020-01-03,15,18323,16516
63,2020-01-03,16,18446,16491
64,2020-01-03,17,18943,16991
65,2020-01-03,18,19776,17675
66,2020-01-03,19,19422,17228
67,2020-01-03,20,19160,16918
68,2020-01-03,21,18590,16669
69,2020-01-03,22,18078,16091
70,2020-01-03,23,17147,15254
71,2020-01-03,24,16388,14304
72,2020-01-04,1,16073,13670
73,2020-01-04,2,15942,13237
74,2020-01-04,3,15583,12942
75,2020-01-04,4,15651,12814
76,2020-01-04,5,15610,12814
77,2020-01-04,6,15984,13030
78,2020-01-04,7,16248,13623
79,2020-01-04,8,16696,14289
80,2020-01-04,9,17290,14854
81,2020-01-04,10,17811,15432
82,2020-01-04,11,18313,15880
83,2020-01-04,12,19004,16125
84,2020-01-04,13,19023,16131
85,2020-01-04,14,18780,16123
86,2020-01-04,15,18824,16082
87,2020-01-04,16,19010,16139
88,2020-01-04,17,19659,16640
89,2020-01-04,18,20309,17273
90,2020-01-04,19,20004,16885
91,2020-01-04,20,19638,16579
92,2020-01-04,21,19243,16251
93,2020-01-04,22,18718,15788
94,2020-01-04,23,17774,15023
95,2020-01-04,24,17073,14213
96,2020-01-05,1,17067,13678
97,2020-01-05,2,17138,13156
98,2020-01-05,3,16853,12831
99,2020-01-05,4,17164,12827
100,2020-01-05,5,17015,12822
101,2020-01-05,6,17168,12994
102,2020-01-05,7,16897,13468
103,2020-01-05,8,16862,13991
104,2020-01-05,9,17097,14406
105,2020-01-05,10,17559,14727
106,2020-01-05,11,17630,14913
107,2020-01-05,12,17804,14979
108,2020-01-05,13,18123,15208
109,2020-01-05,14,18507,15412
110,2020-01-05,15,18812,15750
111,2020-01-05,16,18988,15992
112,2020-01-05,17,19492,16846
113,2020-01-05,18,20677,17885
114,2020-01-05,19,20700,17617
115,2020-01-05,20,20547,17288
116,2020-01-05,21,20094,16853
117,2020-01-05,22,19499,16207
118,2020-01-05,23,18616,15354
119,2020-01-05,24,18268,14477
120,2020-01-06,1,18079,13928
121,2020-01-06,2,17963,13629
122,2020-01-06,3,17719,13484
123,2020-01-06,4,17792,13454
124,2020-01-06,5,17828,13602
125,2020-01-06,6,17906,14206
126,2020-01-06,7,18635,15539
127,2020-01-06,8,20196,16992
128,2020-01-06,9,20243,17125
129,2020-01-06,10,20168,17055
130,2020-01-06,11,20222,16949
131,2020-01-06,12,19842,16846
132,2020-01-06,13,19684,16738
133,2020-01-06,14,19692,16548
134,2020-01-06,15,19497,16419
135,2020-01-06,16,19767,16723
136,2020-01-06,17,20833,17668
137,2020-01-06,18,22021,18680
138,2020-01-06,19,21367,18368
139,2020-01-06,20,21199,18196
140,2020-01-06,21,20134,17817
141,2020-01-06,22,19766,17122
142,2020-01-06,23,18724,16078
143,2020-01-06,24,17914,14881
144,2020-01-07,1,17202,14347
145,2020-01-07,2,17177,14010
146,2020-01-07,3,16608,13781
147,2020-01-07,4,16643,13867
148,2020-01-07,5,16639,14074
149,2020-01-07,6,17245,14606
150,2020-01-07,7,18854,15931
151,2020-01-07,8,19690,17335
152,2020-01-07,9,19963,17547
153,2020-01-07,10,19789,17363
154,2020-01-07,11,19599,17155
155,2020-01-07,12,19720,16869
156,2020-01-07,13,19163,16508
157,2020-01-07,14,18633,16333
158,2020-01-07,15,18913,16439
159,2020-01-07,16,19431,16715
160,2020-01-07,17,20354,17399
161,2020-01-07,18,21012,18266
162,2020-01-07,19,21349,18118
163,2020-01-07,20,21208,18010
164,2020-01-07,21,20820,17686
165,2020-01-07,22,20278,16970
166,2020-01-07,23,19134,16024
167,2020-01-07,24,18605,14916
168,2020-01-08,1,18269,14222
169,2020-01-08,2,17423,13877
170,2020-01-08,3,17717,13682
171,2020-01-08,4,17839,13733
172,2020-01-08,5,17999,13914
173,2020-01-08,6,18314,14500
174,2020-01-08,7,18748,15743
175,2020-01-08,8,20466,17297
176,2020-01-08,9,20417,17549
177,2020-01-08,10,20510,17465
178,2020-01-08,11,20526,17360
179,2020-01-08,12,20088,17291
180,2020-01-08,13,20320,17134
181,2020-01-08,14,20167,17035
182,2020-01-08,15,19713,17162
183,2020-01-08,16,20433,17606
184,2020-01-08,17,21196,18465
185,2020-01-08,18,21888,19597
186,2020-01-08,19,22118,19786
187,2020-01-08,20,21947,19688
188,2020-01-08,21,21568,19503
189,2020-01-08,22,20430,18598
190,2020-01-08,23,19083,17607
191,2020-01-08,24,18029,16503
192,2020-01-09,1,17652,15786
193,2020-01-09,2,17664,15456
194,2020-01-09,3,17554,15165
195,2020-01-09,4,17702,15115
196,2020-01-09,5,18189,15348
197,2020-01-09,6,18630,15751
198,2020-01-09,7,19843,16969
199,2020-01-09,8,20690,18288
200,2020-01-09,9,21101,18448
201,2020-01-09,10,20720,17980
202,2020-01-09,11,20470,17776
203,2020-01-09,12,20310,17618
204,2020-01-09,13,20543,17638
205,2020-01-09,14,21212,17858
206,2020-01-09,15,21472,17896
207,2020-01-09,16,21440,18289
208,2020-01-09,17,21888,18887
209,2020-01-09,18,22831,19758
210,2020-01-09,19,22517,19587
211,2020-01-09,20,22134,19294
212,2020-01-09,21,21508,18842
213,2020-01-09,22,20462,17985
214,2020-01-09,23,19405,16785
215,2020-01-09,24,18505,15603
216,2020-01-10,1,18263,14871
217,2020-01-10,2,17742,14289
218,2020-01-10,3,17436,13879
219,2020-01-10,4,17265,13714
220,2020-01-10,5,17321,13789
221,2020-01-10,6,17927,14350
222,2020-01-10,7,18853,15546
223,2020-01-10,8,19929,16947
224,2020-01-10,9,20307,17492
225,2020-01-10,10,20289,17355
226,2020-01-10,11,20293,17425
227,2020-01-10,12,20364,17529
228,2020-01-10,13,20014,17451
229,2020-01-10,14,20034,17486
230,2020-01-10,15,19574,17396
231,2020-01-10,16,19590,17520
232,2020-01-10,17,20033,17951
233,2020-01-10,18,20700,18297
234,2020-01-10,19,19826,17691
235,2020-01-10,20,18966,17317
236,2020-01-10,21,18487,16996
237,2020-01-10,22,18516,16443
238,2020-01-10,23,17887,15623
239,2020-01-10,24,16451,14421
240,2020-01-11,1,16267,13665
241,2020-01-11,2,16377,13151
242,2020-01-11,3,16734,12932
243,2020-01-11,4,16960,12680
244,2020-01-11,5,16833,12642
245,2020-01-11,6,16970,12836
246,2020-01-11,7,17466,13526
247,2020-01-11,8,17758,14171
248,2020-01-11,9,18331,14770
249,2020-01-11,10,19084,15641
250,2020-01-11,11,19317,16397
251,2020-01-11,12,19471,16638
252,2020-01-11,13,19359,16955
253,2020-01-11,14,19244,17318
254,2020-01-11,15,19011,17352
255,2020-01-11,16,19004,17160
256,2020-01-11,17,19530,17613
257,2020-01-11,18,20170,18052
258,2020-01-11,19,19916,17561
259,2020-01-11,20,19493,17039
260,2020-01-11,21,18956,16771
261,2020-01-11,22,18412,16237
262,2020-01-11,23,17674,15427
263,2020-01-11,24,17350,14601
264,2020-01-12,1,16953,14042
265,2020-01-12,2,17236,13671
266,2020-01-12,3,17584,13474
267,2020-01-12,4,17305,13440
268,2020-01-12,5,17389,13387
269,2020-01-12,6,17797,13709
270,2020-01-12,7,18187,14288
271,2020-01-12,8,18670,14948
272,2020-01-12,9,18632,15583
273,2020-01-12,10,18673,16179
274,2020-01-12,11,19202,16759
275,2020-01-12,12,18943,16970
276,2020-01-12,13,18673,17134
277,2020-01-12,14,18722,16996
278,2020-01-12,15,18655,17032
279,2020-01-12,16,18432,17278
280,2020-01-12,17,19285,17983
281,2020-01-12,18,20026,19012
282,2020-01-12,19,19831,18687
283,2020-01-12,20,19527,18112
284,2020-01-12,21,19522,17642
285,2020-01-12,22,18911,17063
286,2020-01-12,23,18003,16240
287,2020-01-12,24,17160,15448
288,2020-01-13,1,16563,14740
289,2020-01-13,2,16095,14359
290,2020-01-13,3,16426,14339
291,2020-01-13,4,16297,14488
292,2020-01-13,5,16098,14462
293,2020-01-13,6,16857,15178
294,2020-01-13,7,18167,16554
295,2020-01-13,8,19491,17968
296,2020-01-13,9,20096,18421
297,2020-01-13,10,20283,18480
298,2020-01-13,11,20448,18391
299,2020-01-13,12,20374,18249
300,2020-01-13,13,19886,18132
301,2020-01-13,14,20152,18049
302,2020-01-13,15,20153,18005
303,2020-01-13,16,20467,18108
304,2020-01-13,17,21038,18642
305,2020-01-13,18,21085,19271
306,2020-01-13,19,20389,19041
307,2020-01-13,20,20475,18771
308,2020-01-13,21,20001,18349
309,2020-01-13,22,19449,17631
310,2020-01-13,23,18164,16486
311,2020-01-13,24,16820,15353
312,2020-01-14,1,15707,14611
313,2020-01-14,2,15135,14013
314,2020-01-14,3,15119,13792
315,2020-01-14,4,15521,13749
316,2020-01-14,5,15448,14068
317,2020-01-14,6,17035,14668
318,2020-01-14,7,18875,15920
319,2020-01-14,8,20429,17457
320,2020-01-14,9,20454,17751
321,2020-01-14,10,20295,17680
322,2020-01-14,11,20276,18022
323,2020-01-14,12,20420,18070
324,2020-01-14,13,19958,17884
325,2020-01-14,14,19820,17809
326,2020-01-14,15,19779,17716
327,2020-01-14,16,19896,17905
328,2020-01-14,17,20459,18392
329,2020-01-14,18,21233,19128
330,2020-01-14,19,21095,18766
331,2020-01-14,20,21215,18361
332,2020-01-14,21,20696,17992
333,2020-01-14,22,20321,17376
334,2020-01-14,23,19152,16401
335,2020-01-14,24,17847,15098
336,2020-01-15,1,16502,14319
337,2020-01-15,2,16512,14114
338,2020-01-15,3,16366,13952
339,2020-01-15,4,16271,13742
340,2020-01-15,5,16206,13900
341,2020-01-15,6,16815,14569
342,2020-01-15,7,18024,15852
343,2020-01-15,8,19633,17223
344,2020-01-15,9,19557,17405
345,2020-01-15,10,19674,17378
346,2020-01-15,11,19724,17460
347,2020-01-15,12,19847,17284
348,2020-01-15,13,19739,17361
349,2020-01-15,14,19393,17128
350,2020-01-15,15,19240,17157
351,2020-01-15,16,19696,17428
352,2020-01-15,17,20014,17933
353,2020-01-15,18,20948,18573
354,2020-01-15,19,21092,18667
355,2020-01-15,20,20512,18315
356,2020-01-15,21,20201,17972
357,2020-01-15,22,19264,17284
358,2020-01-15,23,18139,16197
359,2020-01-15,24,17104,15070
360,2020-01-16,1,16062,14258
361,2020-01-16,2,16371,13938
362,2020-01-16,3,16620,13913
363,2020-01-16,4,17288,13919
364,2020-01-16,5,17560,14069
365,2020-01-16,6,17463,14603
366,2020-01-16,7,18530,15811
367,2020-01-16,8,19906,17207
368,2020-01-16,9,20287,17574
369,2020-01-16,10,20204,17430
370,2020-01-16,11,19991,17317
371,2020-01-16,12,19999,17288
372,2020-01-16,13,19865,17150
373,2020-01-16,14,19838,17148
374,2020-01-16,15,19843,17100
375,2020-01-16,16,20105,17340
376,2020-01-16,17,20758,18021
377,2020-01-16,18,21636,18926
378,2020-01-16,19,21883,19155
379,2020-01-16,20,21660,18982
380,2020-01-16,21,21369,18730
381,2020-01-16,22,20689,18135
382,2020-01-16,23,19429,17174
383,2020-01-16,24,18603,16097
384,2020-01-17,1,18234,15653
385,2020-01-17,2,18015,15442
386,2020-01-17,3,17911,15353
387,2020-01-17,4,17743,15340
388,2020-01-17,5,17867,15597
389,2020-01-17,6,18361,16202
390,2020-01-17,7,19197,17401
391,2020-01-17,8,20593,18891
392,2020-01-17,9,20897,19202
393,2020-01-17,10,20531,18835
394,2020-01-17,11,20419,18544
395,2020-01-17,12,20244,18312
396,2020-01-17,13,20538,18110
397,2020-01-17,14,20280,17936
398,2020-01-17,15,20145,17859
399,2020-01-17,16,20382,18142
400,2020-01-17,17,21214,18877
401,2020-01-17,18,22076,19928
402,2020-01-17,19,21785,19739
403,2020-01-17,20,21689,19617
404,2020-01-17,21,21376,19277
405,2020-01-17,22,20217,18508
406,2020-01-17,23,19158,17646
407,2020-01-17,24,17800,16227
408,2020-01-18,1,17840,15466
409,2020-01-18,2,17597,14990
410,2020-01-18,3,17695,14615
411,2020-01-18,4,17636,14543
412,2020-01-18,5,17833,14504
413,2020-01-18,6,18380,14832
414,2020-01-18,7,18928,15442
415,2020-01-18,8,19027,16040
416,2020-01-18,9,19740,16995
417,2020-01-18,10,20261,17692
418,2020-01-18,11,20998,18189
419,2020-01-18,12,20680,18524
420,2020-01-18,13,20974,18721
421,2020-01-18,14,21200,18640
422,2020-01-18,15,21327,18462
423,2020-01-18,16,21449,18449
424,2020-01-18,17,21871,18798
425,2020-01-18,18,22490,19417
426,2020-01-18,19,22271,19030
427,2020-01-18,20,21477,18305
428,2020-01-18,21,20677,17667
429,2020-01-18,22,19753,16926
430,2020-01-18,23,18989,16157
431,2020-01-18,24,18010,15280
432,2020-01-19,1,17645,14570
433,2020-01-19,2,17510,14154
434,2020-01-19,3,17728,14034
435,2020-01-19,4,17603,13813
436,2020-01-19,5,17169,13669
437,2020-01-19,6,17210,14012
438,2020-01-19,7,17814,14457
439,2020-01-19,8,17670,15025
440,2020-01-19,9,18546,15781
