coders_from,coders_to,type,include
AB,SK,interprovincial,TRUE
BC,AB,interprovincial,TRUE
NB,NS,interprovincial,TRUE
NB,PE,interprovincial,TRUE
NB,QC,interprovincial,TRUE
ON,MB,interprovincial,TRUE
ON,QC,interprovincial,TRUE
SK,MB,interprovincial,TRUE
AB,US(Montana),international,TRUE
BC,US(Northwest),international,TRUE
MB,MISO(Dakota),international,TRUE
NB,ISONE(Maine),international,TRUE
NB,NMISA(NorthernMaine),international,TRUE
ON,MISO(Michigan),international,TRUE
ON,MISO(Minnesota),international,TRUE
ON,NYISO(West),international,TRUE
QC,ISONE(Highgate),international,TRUE
QC,ISONE(HVDC),international,TRUE
QC,NYISO(HQ),international,TRUE
SK,MISO(Dakota),international,TRUE
