tech,include_new,coders_equivs,input_comm,output_comm,new_cap_batches,flag,tech_sets,include_fuel_cost
E_BIO_M,TRUE,BIOMASS+MSW,E_BIO_M,E_ELCG_RPS,,p,,TRUE
E_WND_ON,TRUE,WIND_ONSHORE,E_ethos,E_ELCG_RPS,10,p,tech_curtailment,FALSE
E_NGS_CT,TRUE,NG_CT+GAS_CT,E_NGS,E_ELCG,,p,,TRUE
E_NGS_CG,FALSE,NG_CG,E_NGS,E_ELCG,,p,,TRUE
E_SOL_PV,TRUE,SOLAR_PV+SOLAR,E_ethos,E_ELCG_RPS,10,p,tech_curtailment,FALSE
E_HYD_DLY,TRUE,HYDRO_DAILY,E_ethos,E_ELCG_RPS,,p,,FALSE
E_HYD_ROR,TRUE,HYDRO_RUN,E_ethos,E_ELCG_RPS,5,p,tech_curtailment,FALSE
E_COAL,FALSE,COAL,E_COAL,E_ELCG,,p,,TRUE
E_NGS_CC,TRUE,NG_CC,E_NGS,E_ELCG,,p,,TRUE
E_BIO_G,TRUE,BIOGAS,E_ethos,E_ELCG_RPS,,p,,TRUE
E_HYD_MLY,FALSE,HYDRO_MONTHLY,E_ethos,E_ELCG_RPS,,p,,FALSE
E_OIL_ST,FALSE,OIL_ST,E_OIL,E_ELCG,,p,,TRUE
E_DIES_CT,FALSE,DIESEL_CT,E_DIES,E_ELCG,,p,,TRUE
E_NUC,TRUE,NUCLEAR,E_URN_NAT,E_ELCG_RPS,,pb,,TRUE
E_OIL_CT,FALSE,OIL_CT,E_OIL,E_ELCG,,p,,TRUE
E_BIO_M_CG,FALSE,BIOMASS_CG,E_BIO_M,E_ELCG_RPS,,p,,TRUE
E_COAL_CCS,FALSE,COAL_CCS,E_COAL,E_ELCG,,p,,TRUE
E_DIES_ST,FALSE,DIESEL_ST,E_DIES,E_ELCG,,p,,TRUE
E_GSL_CT,FALSE,GASOLINE_CT,E_GSL,E_ELCG,,p,,TRUE
E_GEO,FALSE,GEOTHERMAL,E_ethos,E_ELCG_RPS,,p,,FALSE
E_HYD_ANN,FALSE,HYDRO_ANNUAL,E_ethos,E_ELCG_RPS,,p,,FALSE
E_NGS_CCS,TRUE,NG_CCS,E_NGS,E_ELCG,,p,,TRUE
E_NUC_SMR,TRUE,NUCLEAR_SMR,E_URN_ENR,E_ELCG_RPS,,pb,,TRUE
E_BAT,TRUE,STORAGE_LITHIUM+STORAGE_ SOLID+STORAGE,E_ELC_TX,E_ELC_TX,,ps,,FALSE
E_HYD_PMP,TRUE,STORAGE_PUMP,E_ELC_TX,E_ELC_TX,,ps,,FALSE
E_WND_OFF,TRUE,WIND_OFFSHORE,E_ethos,E_ELCG_RPS,,p,tech_curtailment,FALSE
E_CAS,TRUE,STORAGE_AIR,E_ELC_TX,E_ELC_TX,,ps,,FALSE
