Wind Resource Bins,Maximum Capacity (MW),Total Capacity T1,Total Capacity T2,Total Capacity T3,Fraction T1,Fraction T2,Fraction T3
22,704.1698003,704.1698003,0,0,1,0,0
24,1874.139645,1874.139645,0,0,1,0,0
25,1865.443244,1865.443244,0,0,1,0,0
26,3657.693836,3657.693836,0,0,1,0,0
27,9919.092037,9919.092037,0,0,1,0,0
28,11013.63821,9203.880786,1809.757423,0,0.835680328,0.164319672,0
29,11796.6438,3546.873016,8249.770787,0,0.300667976,0.699332024,0
30,6227.570761,860.4314305,5367.13933,0,0.138164858,0.861835142,0
31,8667.993503,377.8030659,8290.190437,0,0.043585989,0.956414011,0
32,10349.01924,0,10349.01924,0,0,1,0
33,16033.04994,0,5852.508197,10180.54174,0,0.365027753,0.634972247
34,11323.36494,0,1450.450734,9872.91421,0,0.128093614,0.871906386
35,15787.14872,0,1622.60312,14164.5456,0,0.102779998,0.897220002
