,y,x,Wind Resource Bins
0,41.75,-95.0,
1,41.75,-94.75,
2,41.75,-94.5,
3,41.75,-94.25,
4,41.75,-94.0,
5,41.75,-93.75,
6,41.75,-93.5,
7,41.75,-93.25,
8,41.75,-93.0,
9,41.75,-92.75,
10,41.75,-92.5,
11,41.75,-92.25,
12,41.75,-92.0,
13,41.75,-91.75,
14,41.75,-91.5,
15,41.75,-91.25,
16,41.75,-91.0,
17,41.75,-90.75,
18,41.75,-90.5,
19,41.75,-90.25,
20,41.75,-90.0,
21,41.75,-89.75,
22,41.75,-89.5,
23,41.75,-89.25,
24,41.75,-89.0,
25,41.75,-88.75,
26,41.75,-88.5,
27,41.75,-88.25,
28,41.75,-88.0,
29,41.75,-87.75,
30,41.75,-87.5,
31,41.75,-87.25,
32,41.75,-87.0,
33,41.75,-86.75,
34,41.75,-86.5,
35,41.75,-86.25,
36,41.75,-86.0,
37,41.75,-85.75,
38,41.75,-85.5,
39,41.75,-85.25,
40,41.75,-85.0,
41,41.75,-84.75,
42,41.75,-84.5,
43,41.75,-84.25,
44,41.75,-84.0,
45,41.75,-83.75,
46,41.75,-83.5,
47,41.75,-83.25,
48,41.75,-83.0,
49,41.75,-82.75,
50,41.75,-82.5,
51,41.75,-82.25,
52,41.75,-82.0,
53,41.75,-81.75,
54,41.75,-81.5,
55,41.75,-81.25,
56,41.75,-81.0,
57,41.75,-80.75,
58,41.75,-80.5,
59,41.75,-80.25,
60,41.75,-80.0,
61,41.75,-79.75,
62,41.75,-79.5,
63,41.75,-79.25,
64,41.75,-79.0,
65,41.75,-78.75,
66,41.75,-78.5,
67,41.75,-78.25,
68,41.75,-78.0,
69,41.75,-77.75,
70,41.75,-77.5,
71,41.75,-77.25,
72,41.75,-77.0,
73,41.75,-76.75,
74,41.75,-76.5,
75,41.75,-76.25,
76,41.75,-76.0,
77,41.75,-75.75,
78,41.75,-75.5,
79,41.75,-75.25,
80,41.75,-75.0,
81,41.75,-74.75,
82,41.75,-74.5,
83,42.0,-95.0,
84,42.0,-94.75,
85,42.0,-94.5,
86,42.0,-94.25,
87,42.0,-94.0,
88,42.0,-93.75,
89,42.0,-93.5,
90,42.0,-93.25,
91,42.0,-93.0,
92,42.0,-92.75,
93,42.0,-92.5,
94,42.0,-92.25,
95,42.0,-92.0,
96,42.0,-91.75,
97,42.0,-91.5,
98,42.0,-91.25,
99,42.0,-91.0,
100,42.0,-90.75,
101,42.0,-90.5,
102,42.0,-90.25,
103,42.0,-90.0,
104,42.0,-89.75,
105,42.0,-89.5,
106,42.0,-89.25,
107,42.0,-89.0,
108,42.0,-88.75,
109,42.0,-88.5,
110,42.0,-88.25,
111,42.0,-88.0,
112,42.0,-87.75,
113,42.0,-87.5,
114,42.0,-87.25,
115,42.0,-87.0,
116,42.0,-86.75,
117,42.0,-86.5,
118,42.0,-86.25,
119,42.0,-86.0,
120,42.0,-85.75,
121,42.0,-85.5,
122,42.0,-85.25,
123,42.0,-85.0,
124,42.0,-84.75,
125,42.0,-84.5,
126,42.0,-84.25,
127,42.0,-84.0,
128,42.0,-83.75,
129,42.0,-83.5,
130,42.0,-83.25,
131,42.0,-83.0,27.0
132,42.0,-82.75,25.0
133,42.0,-82.5,25.0
134,42.0,-82.25,
135,42.0,-82.0,
136,42.0,-81.75,
137,42.0,-81.5,
138,42.0,-81.25,
139,42.0,-81.0,
140,42.0,-80.75,
141,42.0,-80.5,
142,42.0,-80.25,
143,42.0,-80.0,
144,42.0,-79.75,
145,42.0,-79.5,
146,42.0,-79.25,
147,42.0,-79.0,
148,42.0,-78.75,
149,42.0,-78.5,
150,42.0,-78.25,
151,42.0,-78.0,
152,42.0,-77.75,
153,42.0,-77.5,
154,42.0,-77.25,
155,42.0,-77.0,
156,42.0,-76.75,
157,42.0,-76.5,
158,42.0,-76.25,
159,42.0,-76.0,
160,42.0,-75.75,
161,42.0,-75.5,
162,42.0,-75.25,
163,42.0,-75.0,
164,42.0,-74.75,
165,42.0,-74.5,
166,42.25,-95.0,
