y,x,lon,lat,Average Wind Speed at 110m (m/s),NREL ATB Wind Class,Representative Wind Turbine,Capacity Factors,Capacity Factors,Spur Line Cost (USD/MW),LCOE (USD/MWh),Availability Fraction,Maximum Capacity (MW)
41.75,-95.0,-95.0,41.75,7.0119147,8,T2,0.3858178583234549,0.3858178583234549,1861.772937254525,64.4694781418955,0.0,0.0
41.75,-94.75,-94.75,41.75,6.9368095,8,T2,0.378676872253418,0.378676872253418,1854.7646347316447,65.54891608446384,0.0,0.0
41.75,-94.5,-94.5,41.75,6.80645,8,T2,0.36525685857236384,0.36525685857236384,1848.924760783941,67.83951122306523,0.0,0.0
41.75,-94.25,-94.25,41.75,6.6938295,8,T2,0.353173689737916,0.353173689737916,1844.2644713563975,70.06332456358669,0.0,0.0
41.75,-94.0,-94.0,41.75,6.6034837,8,T2,0.34293189996480944,0.34293189996480944,1840.7927704119836,72.08122990568887,0.0,0.0
41.75,-93.75,-93.75,41.75,6.5443754,8,T2,0.3359437565505505,0.3359437565505505,1838.5164247213331,73.5307233103212,0.0,0.0
41.75,-93.5,-93.5,41.75,6.533203,8,T2,0.3344836589694023,0.3344836589694023,1837.4398988725998,73.82799707529328,0.0,0.0
41.75,-93.25,-93.25,41.75,6.55937,8,T2,0.33745020781457424,0.33745020781457424,1837.5653119434667,73.1817071526776,0.0,0.0
41.75,-93.0,-93.0,41.75,6.6019683,8,T2,0.3421671655327082,0.3421671655327082,1838.8924168107665,72.20142419126492,0.0,0.0
41.75,-92.75,-92.75,41.75,6.6294985,8,T2,0.34550804714858535,0.34550804714858535,1841.4178804053608,71.55710953665749,0.0,0.0
41.75,-92.5,-92.5,41.75,6.6523633,8,T2,0.34801818159222603,0.34801818159222603,1845.1373292364763,71.11970845906077,0.0,0.0
41.75,-92.25,-92.25,41.75,6.627473,8,T2,0.3449949428588152,0.3449949428588152,1824.2796894146963,71.29765724493247,0.0,0.0
41.75,-92.0,-92.0,41.75,6.589397,8,T2,0.34056380872428416,0.34056380872428416,1774.848308668917,71.15629783178844,0.0,0.0
41.75,-91.75,-91.75,41.75,6.5510883,8,T2,0.336292755484581,0.336292755484581,1725.422357612917,70.97752783205908,0.0,0.0
41.75,-91.5,-91.5,41.75,6.5197115,9,T3,0.38960154961735516,0.38960154961735516,1676.0027597970063,64.45866625975698,0.0,0.0
41.75,-91.25,-91.25,41.75,6.50327,9,T3,0.38816441127982254,0.38816441127982254,1626.5905378285165,63.75975042272367,0.0,0.0
41.75,-91.0,-91.0,41.75,6.472602,9,T3,0.38525864156478845,0.38525864156478845,1577.1868288567293,63.29617503729864,0.0,0.0
41.75,-90.75,-90.75,41.75,6.3911457,9,T3,0.3763651066328868,0.3763651066328868,1527.792903046557,63.825265593227115,0.0,0.0
41.75,-90.5,-90.5,41.75,6.205168,9,T3,0.35456302859629296,0.35456302859629296,1478.4101857346843,66.7240744670117,0.0,0.0
41.75,-90.25,-90.25,41.75,6.0846305,9,T3,0.34031484930693534,0.34031484930693534,1429.040284151772,68.44917697078009,0.0,0.0
41.75,-90.0,-90.0,41.75,6.0329,9,T3,0.3343819666022934,0.3343819666022934,1379.685019844488,68.5765467796077,0.0,0.0
41.75,-89.75,-89.75,41.75,6.0787973,9,T3,0.3404373646579475,0.3404373646579475,1330.346468263628,66.28935375222581,0.0,0.0
41.75,-89.5,-89.5,41.75,6.1151233,9,T3,0.3446214912350399,0.3446214912350399,1281.0270074307073,64.4304734013396,0.0,0.0
41.75,-89.25,-89.25,41.75,6.152703,9,T3,0.3486448394930386,0.3486448394930386,1231.7293781994504,62.64552654331194,0.0,0.0
41.75,-89.0,-89.0,41.75,6.1546373,9,T3,0.3495587946336241,0.3495587946336241,1182.456759455443,61.443562014188906,0.0,0.0
41.75,-88.75,-88.75,41.75,6.0671525,9,T3,0.3396819234461407,0.3396819234461407,1133.212862741195,62.16240986159625,0.0,0.0
41.75,-88.5,-88.5,41.75,5.922087,9,T3,0.3219270444141462,0.3219270444141462,1084.0020523958372,64.46491671759651,0.0,0.0
